
> escuela-global-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.20:3000
- Environments: .env.local
✓ Ready in 1527ms

 GET /panel 200 in 377ms (next.js: 10ms, proxy.ts: 7ms, application-code: 360ms)
 GET /panel/estudiantes 200 in 117ms (next.js: 74ms, proxy.ts: 8ms, application-code: 36ms)
 GET /auth/login 200 in 97ms (next.js: 13ms, proxy.ts: 6ms, application-code: 77ms)
[browser] A tree hydrated but some attributes of the server rendered HTML didn't match the client properties. This 
won't be patched up. This can happen if a SSR-ed Client Component used:

- A server/client branch `if (typeof window !== 'undefined')`.
- Variable input such as `Date.now()` or `Math.random()` which changes each time it's called.
- Date formatting in a user's locale which doesn't match the server.
- External changing data without sending a snapshot of it along with the HTML.
- Invalid HTML tag nesting.

It can also happen if the client has a browser extension installed which messes with the HTML before React loaded.

https://react.dev/link/hydration-mismatch

  ...
    <HotReload globalError={[...]} webSocket={WebSocket} staticIndicatorState={{pathname:null, ...}}>
      <AppDevOverlayErrorBoundary globalError={[...]}>
        <ReplaySsrOnlyErrors>
        <DevRootHTTPAccessFallbackBoundary>
          <HTTPAccessFallbackBoundary notFound={<NotAllowedRootHTTPFallbackError>}>
            <HTTPAccessFallbackErrorBoundary pathname="/auth/login" notFound={<NotAllowedRootHTTPFallbackError>} ...>
              <RedirectBoundary>
                <RedirectErrorBoundary router={{...}}>
                  <Head>
                  <__next_root_layout_boundary__>
                    <SegmentViewNode type="layout" pagePath="layout.tsx">
                      <SegmentTrieNode>
                      <link>
                      <script>
                      <script>
                      <script>
                      <script>
                      <script>
                      <script>
                      <RootLayout>
                        <html lang="es" className="raleway_6e...">
                          <body
                            className="min-h-full flex flex-col"
-                           cz-shortcut-listen="true"
                          >
                  ...
 
 GET /panel/estudiantes 200 in 50ms (next.js: 9ms, proxy.ts: 7ms, application-code: 35ms)
 GET /panel/estudiantes/404a757c-563c-45a7-9ee4-ed3cb0d939d5 200 in 1381ms (next.js: 1324ms, proxy.ts: 6ms, application-code: 52ms)
 GET /panel/estudiantes 200 in 52ms (next.js: 7ms, proxy.ts: 6ms, application-code: 38ms)
Failed to proxy http://localhost:4000/api/admin/usuarios?page=1&limit=15&role=estudiante&sort=first_name 
AggregateError: 
    at ignore-listed frames {
  code: 'ECONNREFUSED',
  [errors]: [
    Error: connect ECONNREFUSED ::1:4000
